year,doi,title,f_author,id
2015,,Requirements for and Evaluation of User Support for Large-Scale Ontology Alignment,Valentina Ivanova,2
2015,,Heuristics for Fixing Common Errors in Deployed schema.org Microdata,Robert Meusel,3
2015,,Using @Twitter Conventions to Improve #LOD-Based Named Entity Disambiguation,Genevieve Gorrell,4
2015,,Knowledge Enabled Approach to Predict the Location of Twitter Users,Revathy Krishnamurthy,5
2015,,A Compact In-Memory Dictionary for RDF Data,Hamid R. Bazoobandi,6
2015,,Quality Assessment of Linked Datasets Using Probabilistic Approximation,Jeremy Debattista,7
2015,,Cooperative Techniques for SPARQL Query Relaxation in RDF Databases,G eraud Fokou,8
2015,,HDT-MR: A Scalable Solution for RDF Compression with HDT and MapReduce,Jos e M. Gim enez-Garc a,9
2015,,Processing Aggregate Queries in a Federation of SPARQL Endpoints,Dilshod Ibragimov,10
2015,,A Survey of HTTP Caching Implementations on the Open Semantic Web,Kjetil Kjernsmo,11
2015,,Query Execution Optimization for Clients of Triple Pattern Fragments,Joachim Van Herwegen,12
2015,,RODI: A Benchmark for Automatic Mapping Generation in Relational-to-Ontology Data Integration,Christoph Pinkel,13
2015,,LIME: The Metadata Module for OntoLex,Manuel Fiorelli,14
2015,,Learning a Cross-Lingual Semantic Representation of Relations Expressed in Text,Achim Rettinger,15
2015,,HAWK – Hybrid Question Answering Using Linked Data,Ricardo Usbeck,16
2015,,Automating RDF Dataset Transformation and Enrichment,Mohamed Ahmed Sherif,17
2015,,Semi-supervised Instance Matching Using Boosted Classiﬁers,Mayank Kejriwal,18
2015,,Assigning Semantic Labels to Data Sources,S.K. Ramnandan,19
2015,,Inductive Classiﬁcation Through Evidence-Based Models and Their Ensembles,Giuseppe Rizzo,20
2015,,Standardized and Eﬃcient RDF Encoding for Constrained Embedded Networks,Sebastian K abisch,21
2015,,SPSC: Eﬃcient Composition of Semantic Services in Unstructured P2P Networks,Xiaoqi Cao,22
2015,,Linked Data-as-a-Service: The Semantic Web Redeployed,Laurens Rietveld,23
2015,,VocBench: A Web Application for Collaborative Development of Multilingual Thesauri,Armando Stellato,24
2015,,Gagg: A Graph Aggregation Operator,Fadi Maali,25
2015,,FrameBase: Representing N-Ary Relations Using Semantic Frames,Jacobo Rouces,26
2015,,Towards Hybrid NER: A Study of Content and Crowdsourcing-Related Performance Factors,Oluwaseyi Feyisetan,27
2015,,"Ranking Entities in the Age of Two Webs, an Application to Semantic Snippets",Mazen Alsarem,28
2015,,Troubleshooting and Optimizing Named Entity Resolution Systems in the Industry,Panos Alexopoulos,29
2015,,Using Ontologies for Modeling Virtual Reality Scenarios,Mauro Dragoni,30
2015,,Supporting Open Collaboration in Science Through Explicit and Linked Semantic Description of Processes,Yolanda Gil,31
2015,,Crowdmapping Digital Social Innovation with Linked Data,Harry Halpin,32
2015,,Desperately Searching for Travel Offers? Formulate Better Queries with Some Help from Linked Data,Chun Lu,33
2015,,Towards the Russian Linked Culture Cloud: Data Enrichment and Publishing,Dmitry Mouromtsev,34
2015,,Leveraging and Balancing Heterogeneous Sources of Evidence in Ontology Learning,Gerhard Wohlgenannt,35
2015,,From Symptoms to Diseases – Creating the Missing Link,Heiner Oberkampf,36
2015,,Using Semantic Web Technologies for Enterprise Architecture Analysis,Maximilian Osenberg,37
2015,,PADTUN - Using Semantic Technologies in Tunnel Diagnosis and Maintenance Domain,Dhavalkumar Thakker,38
2015,,Crowdsourcing Disagreement for Collecting Semantic Annotation,Anca Dumitrache,39
2015,,Ontology Change in Ontology-Based Information Integration Systems,Fajar Juang Ekaputra,40
2015,,Creating Learning Material from Web Resources,Katrin Krieger,41
2015,,The Design and Implementation of Semantic Web-Based Architecture for Augmented Reality Browser,Tam as Matuszka,42
2015,,Information Extraction for Learning Expressive Ontologies,Giulio Petrucci,43
2015,,A Scalable Adaptive Method for Complex Reasoning Over Semantic Data Streams,Thu-Le Pham,44
2015,,Sequential Decision Making with Medical Interpretation Algorithms in the Semantic Web,Patrick Philipp,45
2015,,A Context-Based Semantics for SPARQL Property Paths Over the Web,Olaf Hartig,46
2015,,Towards Linked Open Data Enabled Data Mining,Strategies for Feature Generation,47
2015,,Semantic Support for Recording Laboratory Experimental Metadata: A Study in Food Chemistry,Semantic Support for Recording Laboratory,48
2015,,Exploiting Semantics from Ontologies to Enhance Accuracy of Similarity Measures,Ignacio Traverso-Rib on,49
2015,,e-Document Standards as Background Knowledge in Context-Based Ontology Matching,Audun Vennesland,50
2015,,Semantics-Enabled User Interest Mining,Fattane Zarrinkalam,51
2015,,Distributed and Scalable OWL EL Reasoning,Raghava Mutharaju,52
2015,,Large Scale Rule-Based Reasoning Using a Laptop,Martin Peters,53
2015,,RDF Digest: Ef ﬁ cient Summarization of RDF/S KBs,eorgia Troullinou,54
2015,,A Comparison of Data Structures to Manage URIs on the Web of Data,Ruslan Mavlyutov,55
2016,,Detecting Similar Linked Datasets Using Topic Modelling,Michael Rder,56
2016,,Enriching Product Ads with Metadata from HTML Annotations,Petar Ristoski,57
2016,,Iterative Entity Navigation via Co-clustering Semantic Links and Entity Classes,Liang Zheng,58
2016,,DoSeR - A Knowledge-Base-Agnostic Framework for Entity Disambiguation Using Semantic Embeddings,Stefan Zwicklbauer,59
2016,,Embedding Mapping Approaches for Tensor Factorization and Knowledge Graph Modelling,Yinchong Yang,60
2016,,Comparing Vocabulary Term Recommendations Using Association Rules and Learning to Rank: A User Study,Johann Schaible,61
2016,,Full-Text Support for Publish/Subscribe Ontology Systems,Lefteris Zervakis,62
2016,,Heaven: A Framework for Systematic Comparative Research Approach for RSP Engines,Riccardo Tommasini,63
2016,,Bridging the Gap Between Formal Languages and Natural Languages with Zippers,S ebastien Ferr e,64
2016,,Towards Monitoring of Novel Statements in the News,Michael F arber,65
2016,,AskNow: A Framework for Natural Language Query Formalization in SPARQL,Mohnish Dubey,66
2016,,Heuristics for Connecting Heterogeneous Knowledge via FrameBase,Jacobo Rouces,67
2016,,Knowledge Extraction for Information Retrieval,Francesco Corcoglioniti,68
2016,,Eﬃcient Graph-Based Document Similarity,Christian Paul,69
2016,,Semantic Topic Compass – Classiﬁcation Based on Unsupervised Feature Ambiguity Gradation,Amparo Elizabeth Cano,70
2016,,Supporting Arbitrary Custom Datatypes in RDF and SPARQL,Maxime Lefran cois,71
2016,,Handling Inconsistencies Due to Class Disjointness in SPARQL Updates,Albin Ahmeti,72
2016,,A Contextualised Semantics for owl:sameAs,Wouter Beek,73
2016,,The Lazy Traveling Salesman – Memory Management for Large-Scale Link Discovery,Axel-Cyrille Ngonga Ngomo,74
2016,,RDF Query Relaxation Strategies Based on Failure Causes,G eraud Fokou,75
2016,,CyCLaDEs: A Decentralized Cache for Triple Pattern Fragments,Pauline Folz,76
2016,,LOTUS: Adaptive Text Search for Big Linked Data,Filip Ilievski,77
2016,,Dataset Recommendation for Data Linking: An Intensional Approach,Mohamed Ben Ellefi,78
2016,,Query Rewriting in RDF Stream Processing,Jean-Paul Calbimonte,79
2016,,"Linking Data, Services and Human Know-How",Paolo Pareti,80
2016,,"VOLT: A Provenance-Producing, Transparent SPARQL Proxy for the On-Demand Computation of Linked Data and its Application to Spatiotemporally Dependent Data",Blake Regalia,81
2016,,Learning to Classify Spatiotextual Entities in Maps,Giorgos Giannopoulos,82
2016,,Supporting Geo-Ontology Engineering Through Spatial Data Analytics,Gloria Re Calegari,83
2016,,Provenance Management for Evolving RDF Datasets,Argyro Avgoustaki,84
2016,,Private Record Linkage: Comparison of Selected Techniques for Name Matching,Pawel Grzebala,85
